Date,Time,Address,Crime,Inside/Outside,Weapon,PostCode,District,Neighborhood,Longitude,Latitude,Location,Premise
interval+date,interval+minute,nominal,ordinal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal
43288,1433,1600 PENTWOOD RD,6,,FIREARM,413,NORTHEASTERN,Stonewood-Pentwood-Winsto,-76.58727,39.34782,"(39.34782, -76.58727)",Alley
43288,1430,ST & DIVISION ST,5,O,,131,CENTRAL,Druid Heights,-76.63936,39.30903,"(39.30903, -76.63936)",STREET
43288,1398,2500 PERRING MANOR RD,0,I,OTHER,423,NORTHEASTERN,Hamilton Hills,-76.56094,39.37189,"(39.37189, -76.56094)",ROW/TOWNHO
43288,1361,3700 S HANOVER ST,14,,FIREARM,913,SOUTHERN,Brooklyn,-76.61033,39.23703,"(39.23703, -76.61033)",Common Bus
43288,1375,LOMBARD ST & LIGHT ST,5,I,,111,CENTRAL,Inner Harbor,-76.61362,39.28775,"(39.28775, -76.61362)",CONVENIENC
43288,1338,1800 W FRANKLIN ST,0,I,OTHER,722,WESTERN,Harlem Park,-76.64652,39.29388,"(39.29388, -76.64652)",ROW/TOWNHO
43288,1300,1000 S	AINT PAUL ST,13,,,141,CENTRAL,Mid-Town Belvedere,-76.61436,39.30165,"(39.30165, -76.61436)",
43288,1276,2000 E BALTIMORE ST,5,I,,212,SOUTHEASTERN,Butcher's Hill,-76.58809,39.29172,"(39.29172, -76.58809)",ROW/TOWNHO
43288,1268,400 E 20TH ST,8,I,,341,EASTERN,Barclay,-76.61049,39.31244,"(39.31244, -76.61049)",APT/CONDO
43288,1219,4900 SINCLAIR LA,14,,FIREARM,443,NORTHEASTERN,Frankford,-76.55088,39.32101,"(39.32101, -76.55088)",Street
43288,1258,6400 ELRAY DR,2,I,,632,NORTHWESTERN,Cheswolde,-76.69167,39.37062,"(39.37062, -76.69167)",APT/CONDO
43288,1236,400 PARK AVE,8,O,,111,CENTRAL,Downtown,-76.61823,39.29406,"(39.29406, -76.61823)",STREET
43288,1185,500 HALF MILE CT,0,O,OTHER,143,CENTRAL,Seton Hill,-76.62427,39.29781,"(39.29781, -76.62427)",STREET
43288,1185,500 HALF MILE CT,0,O,OTHER,143,CENTRAL,Seton Hill,-76.62427,39.29781,"(39.29781, -76.62427)",STREET
43288,1185,500 HALF MILE CT,0,O,OTHER,143,CENTRAL,Seton Hill,-76.62427,39.29781,"(39.29781, -76.62427)",STREET
43288,1171,1800 DESOTO RD,7,I,,831,SOUTHWESTERN,Morrell Park,-76.65512,39.26494,"(39.26494, -76.65512)",ROW/TOWNHO
43288,1160,600 S CHARLES ST,5,I,,941,SOUTHERN,Otterbein,-76.61469,39.28189,"(39.28189, -76.61469)",APT/CONDO
