CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,crimeCaseNumber,Total Incidents
ordinal,ordinal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,nominal,ratio,ratio,vector2,nominal,ratio,ratio
07/07/2018,23:53:00,1F,1600 PENTWOOD RD,HOMICIDE,,FIREARM,413,NORTHEASTERN,Stonewood-Pentwood-Winsto,-76.58727,39.34782,"(39.34782, -76.58727)",Alley,,1
07/07/2018,23:50:00,4E,ST & DIVISION ST,COMMON ASSAULT,O,,131,CENTRAL,Druid Heights,-76.63936,39.30903,"(39.30903, -76.63936)",STREET,,1
07/07/2018,23:18:00,4C,2500 PERRING MANOR RD,AGG. ASSAULT,I,OTHER,423,NORTHEASTERN,Hamilton Hills,-76.56094,39.37189,"(39.37189, -76.56094)",ROW/TOWNHO,,1
07/07/2018,22:41:00,9S,3700 S HANOVER ST,SHOOTING,,FIREARM,913,SOUTHERN,Brooklyn,-76.61033,39.23703,"(39.23703, -76.61033)",Common Bus,,1
07/07/2018,22:55:00,4E,LOMBARD ST & LIGHT ST,COMMON ASSAULT,I,,111,CENTRAL,Inner Harbor,-76.61362,39.28775,"(39.28775, -76.61362)",CONVENIENC,,1
07/07/2018,22:18:00,4C,1800 W FRANKLIN ST,AGG. ASSAULT,I,OTHER,722,WESTERN,Harlem Park,-76.64652,39.29388,"(39.29388, -76.64652)",ROW/TOWNHO,,1
07/07/2018,21:40:00,3B,1000 SAINT PAUL ST,ROBBERY - STREET,,,141,CENTRAL,Mid-Town Belvedere,-76.61436,39.30165,"(39.30165, -76.61436)",,,1
07/07/2018,21:16:00,4E,2000 E BALTIMORE ST,COMMON ASSAULT,I,,212,SOUTHEASTERN,Butcher's Hill,-76.58809,39.29172,"(39.29172, -76.58809)",ROW/TOWNHO,,1
07/07/2018,21:08:00,6D,400 E 20TH ST,LARCENY FROM AUTO,I,,341,EASTERN,Barclay,-76.61049,39.31244,"(39.31244, -76.61049)",APT/CONDO,,1
07/07/2018,20:19:00,9S,4900 SINCLAIR LA,SHOOTING,,FIREARM,443,NORTHEASTERN,Frankford,-76.55088,39.32101,"(39.32101, -76.55088)",Street,,1
07/07/2018,20:58:00,5F,6400 ELRAY DR,BURGLARY,I,,632,NORTHWESTERN,Cheswolde,-76.69167,39.37062,"(39.37062, -76.69167)",APT/CONDO,,1
07/07/2018,20:36:00,6D,400 PARK AVE,LARCENY FROM AUTO,O,,111,CENTRAL,Downtown,-76.61823,39.29406,"(39.29406, -76.61823)",STREET,,1
07/07/2018,19:45:00,4C,500 HALF MILE CT,AGG. ASSAULT,O,OTHER,143,CENTRAL,Seton Hill,-76.62427,39.29781,"(39.29781, -76.62427)",STREET,,1
07/07/2018,19:45:00,4C,500 HALF MILE CT,AGG. ASSAULT,O,OTHER,143,CENTRAL,Seton Hill,-76.62427,39.29781,"(39.29781, -76.62427)",STREET,,1
07/07/2018,19:45:00,4C,500 HALF MILE CT,AGG. ASSAULT,O,OTHER,143,CENTRAL,Seton Hill,-76.62427,39.29781,"(39.29781, -76.62427)",STREET,,1
07/07/2018,19:31:00,6G,1800 DESOTO RD,LARCENY,I,,831,SOUTHWESTERN,Morrell Park,-76.65512,39.26494,"(39.26494, -76.65512)",ROW/TOWNHO,,1
07/07/2018,19:20:00,4E,600 S CHARLES ST,COMMON ASSAULT,I,,941,SOUTHERN,Otterbein,-76.61469,39.28189,"(39.28189, -76.61469)",APT/CONDO,,1
07/07/2018,19:09:00,4A,4300 GREENHILL AVE,AGG. ASSAULT,O,FIREARM,442,NORTHEASTERN,Parkside,-76.55908,39.32473,"(39.32473, -76.55908)",STREET,,1
07/07/2018,19:00:00,4D,400 E PRATT ST,AGG. ASSAULT,O,HANDS,112,CENTRAL,Inner Harbor,-76.6098,39.28668,"(39.28668, -76.6098)",STREET,,1
07/07/2018,19:00:00,4E,PRATT ST & S GAY ST,COMMON ASSAULT,O,,112,CENTRAL,Inner Harbor,-76.6087,39.28669,"(39.28669, -76.6087)",STREET,,1
07/07/2018,18:15:00,9S,1800 PENNSYLVANIA AV,SHOOTING,,FIREARM,123,CENTRAL,Upton,-76.63571,39.30436,"(39.30436, -76.63571)",Street,,1
07/07/2018,18:15:00,4A,AV & LAURENS ST,AGG. ASSAULT,O,FIREARM,123,CENTRAL,Upton,-76.6356,39.3043,"(39.3043, -76.6356)",STREET,,1
07/07/2018,18:08:00,6D,200 WATER ST,LARCENY FROM AUTO,O,,111,CENTRAL,Downtown,-76.61153,39.28833,"(39.28833, -76.61153)",PARKING LO,,1
07/07/2018,17:40:00,6D,2400 E CHASE ST,LARCENY FROM AUTO,O,,322,EASTERN,Biddle Street,-76.58311,39.3037,"(39.3037, -76.58311)",STREET,,1
07/07/2018,16:14:00,9S,6800 FAIRLAWN AV,SHOOTING,,FIREARM,631,NORTHWESTERN,Reisterstown Station,-76.70956,39.3588,"(39.3588, -76.70956)",Street,,1
07/07/2018,16:29:00,4E,600 CHERRY HILL RD,COMMON ASSAULT,I,,922,SOUTHERN,Cherry Hill,-76.6223,39.2503,"(39.2503, -76.6223)",BARBER/BEA,,1
07/07/2018,16:12:00,4A,6800 FAIRLAWN AVE,AGG. ASSAULT,O,FIREARM,631,NORTHWESTERN,Reisterstown Station,-76.70956,39.3588,"(39.3588, -76.70956)",STREET,,1
07/07/2018,16:00:00,4E,1900 SWANSEA RD,COMMON ASSAULT,I,,415,NORTHEASTERN,Loch Raven,-76.57974,39.35572,"(39.35572, -76.57974)",ROW/TOWNHO,,1
07/07/2018,15:40:00,4E,3900 RIDGECROFT RD,COMMON ASSAULT,I,,426,NORTHEASTERN,Waltherson,-76.5578,39.33756,"(39.33756, -76.5578)",ROW/TOWNHO,,1
07/07/2018,15:40:00,4E,3900 RIDGECROFT RD,COMMON ASSAULT,I,,426,NORTHEASTERN,Waltherson,-76.5578,39.33756,"(39.33756, -76.5578)",ROW/TOWNHO,,1
07/07/2018,6:40:00,5D,2400 BARCLAY ST,BURGLARY,I,,341,EASTERN,Barclay,-76.61138,39.31765,"(39.31765, -76.61138)",GROCERY/CO,,1
07/07/2018,15:15:00,6D,AV & N MARTIN LUTHER KING J,LARCENY FROM AUTO,O,,121,CENTRAL,Heritage Crossing,-76.62629,39.29677,"(39.29677, -76.62629)",STREET,,1
07/07/2018,15:00:00,4E,600 N LUZERNE AVE,COMMON ASSAULT,I,,221,SOUTHEASTERN,McElderry Park,-76.5808,39.2982,"(39.2982, -76.5808)",ROW/TOWNHO,,1
07/07/2018,14:45:00,4B,5500 WHITBY RD,AGG. ASSAULT,I,KNIFE,441,NORTHEASTERN,Cedonia,-76.53108,39.33433,"(39.33433, -76.53108)",ROW/TOWNHO,,1
07/07/2018,14:30:00,5A,4700 MELBOURNE RD,BURGLARY,I,,833,SOUTHWESTERN,Beechfield,-76.69508,39.27225,"(39.27225, -76.69508)",ROW/TOWNHO,,1
07/07/2018,14:25:00,6C,4400 HARFORD RD,LARCENY,I,,422,NORTHEASTERN,Beverly Hills,-76.5726,39.3397,"(39.3397, -76.5726)",SPECIALTY,,1
07/07/2018,14:22:00,3D,4200 SHAMROCK AVE,ROBBERY - COMMERCIAL,I,,442,NORTHEASTERN,Belair-Edison,-76.56459,39.32764,"(39.32764, -76.56459)",SPECIALTY,,1
07/07/2018,14:22:00,3D,2200 E MONUMENT ST,ROBBERY - COMMERCIAL,I,,321,EASTERN,Middle East,-76.58606,39.29871,"(39.29871, -76.58606)",SPECIALTY,,1
07/07/2018,14:15:00,4B,3400 PULASKI HWY,AGG. ASSAULT,I,KNIFE,223,SOUTHEASTERN,Baltimore Highlands,-76.56937,39.29603,"(39.29603, -76.56937)",FAST FOOD,,1
07/07/2018,13:50:00,6D,600 N HILTON ST,LARCENY FROM AUTO,O,,844,SOUTHWESTERN,Edgewood,-76.67281,39.2948,"(39.2948, -76.67281)",PARKING LO,,1
07/07/2018,13:46:00,4E,1500 HAZEL ST,COMMON ASSAULT,I,,911,SOUTHERN,Curtis Bay,-76.58975,39.22601,"(39.22601, -76.58975)",APT/CONDO,,1
07/07/2018,13:07:00,6D,1400 PARK AVE,LARCENY FROM AUTO,O,,132,CENTRAL,Bolton Hill,-76.62423,39.30709,"(39.30709, -76.62423)",STREET,,1
